sha256,precision_top1,recall_top1,f1_top1,precision_top2,recall_top2,f1_top2,precision_top3,recall_top3,f1_top3,precision_top4,recall_top4,f1_top4,precision_top5,recall_top5,f1_top5
eb6478f051ae5b16921ed95f6a2f761512c79787ac2b54f0d00742ad526c34b8,0.0,0.0,0,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
ec3da4ac9ec917e66ab943ab149119807922f64f2e4960ebadc36fe7520b300f,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
ec452b494fadf19fafa1524868f6cd0ae3fbe74dce2a1297425f2aa5fdd15748,1.0,0.3333,0.5,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
ed3d540886144d18a9f15c349cff1a89080dbb9e62ad224efbe83307af3171f2,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.5,0.4,0.4444,0.4,0.4,0.4
ed801a3e54843afe989aadd69cdab5e6fbf00e8e02742f354519b4b16de8f31c,1.0,0.2,0.3333,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
ee6820bbca27cf252b5d81cbbf0fe67a85246b4eea3c584607640d0f8adde5e2,0.0,0.0,0,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
f03f892b1615d0151f7b2784ad3f0f6c77eea3bceb7cd1117b2ac5f011f343cf,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
f6e15f90b07e9d9bf2abb87722bf26616dd0df4ce68367591b61ef18ae5fb55a,1.0,0.25,0.4,1.0,0.5,0.6667,0.6667,0.5,0.5714,0.5,0.5,0.5,0.4,0.5,0.4444
f9c5420c0f039a178f5495ecfb657f8da383624e0cf7f02c645fbdfa95e2e8b9,0.0,0.0,0,0.5,0.25,0.3333,0.6667,0.5,0.5714,0.5,0.5,0.5,0.4,0.5,0.4444
f0049c88f414b3fff65f2ebe88ea6d4fc2c89c3c8186193526a12b02eda15d46,1.0,0.2,0.3333,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
0a7efe1575204e7d7060acaf97370d560c72c30e5c3c57523d53fe35e2730e9e,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
0a471df64b677fd6608c72626444d22381f7fc20ea0165cc5b88fdad0402d32f,1.0,0.3333,0.5,0.5,0.3333,0.4,0.6667,0.6667,0.6667,0.5,0.6667,0.5714,0.4,0.6667,0.5
0e723b24c00d40e82c3040be920ea71fa0c8f868d009f66310250f7286eeb3c7,1.0,0.3333,0.5,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
0fd2df2e477e32ea67ae753d401f8b760a9d44e8f8198f6e4c71fdd136bdd17e,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.4,0.4,0.4
1d448335a3b897166b49488a43f72689a054cd464ad5b5b148d57454d0515f50,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
9543093bc02b5d20ad4606f3ba21dc41d8c0da1dc56933dc78c88d78d883dd80,1.0,0.2,0.3333,0.5,0.2,0.2857,0.6667,0.4,0.5,0.75,0.6,0.6667,0.6,0.6,0.6
38048316d8a7ce688d6c8f93a3d3879ac2342a318af0db12829103beab32032f,0.0,0.0,0,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
40995428d8fcbe2da30dca08cd15228bb4b08a4dea38e78d71181d3fda5a4f42,1.0,0.25,0.4,0.5,0.25,0.3333,0.3333,0.25,0.2857,0.25,0.25,0.25,0.2,0.25,0.2222
66060484cccedb839fb646d4e6020e079319374b2847c52dcec55c5ad60b1beb,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
99771307856906455163e0072bf6d6521eaebd0939c83ae487d482edc9ed0308,1.0,0.3333,0.5,0.5,0.3333,0.4,0.6667,0.6667,0.6667,0.5,0.6667,0.5714,0.4,0.6667,0.5
a1d99da15a8902431ab728f50cc47294cdb18fa204d4343f42e49fc84d44bed6,0.0,0.0,0,0.0,0.0,0,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
a29f63484f53d2cf832b2bc70d6b66378b87b86221f885d0f43166503d631ef3,0.0,0.0,0,0.5,0.5,0.5,0.3333,0.5,0.4,0.25,0.5,0.3333,0.2,0.5,0.2857
