hash,B0001,B0001.002,B0001.009,B0001.019,B0001.025,B0001.031,B0001.032,B0001.033,B0001.034,B0001.036,B0002,B0002.008,B0003,B0003.002,B0003.003,B0007,B0007.008,B0009,B0009.005,B0009.008,B0009.012,B0009.024,B0013,B0013.001,B0013.009,B0018,B0022,B0023,B0025.007,B0028,B0028.001,B0029,B0030,B0030.001,B0030.002,B0030.003,B0032,B0032.017,B0032.020,B0033,B0043,B0046.001,B0046.002,B0047,C0001,C0001.001,C0001.003,C0001.004,C0001.005,C0001.006,C0001.007,C0001.008,C0001.009,C0001.010,C0001.011,C0001.012,C0002,C0002.003,C0002.004,C0002.006,C0002.008,C0002.009,C0002.012,C0002.013,C0002.014,C0002.017,C0003,C0003.001,C0003.002,C0003.003,C0003.004,C0004.001,C0004.002,C0005,C0005.001,C0007,C0008,C0011,C0011.001,C0011.002,C0014,C0014.002,C0015,C0016,C0016.002,C0017,C0017.003,C0018,C0019,C0021,C0021.003,C0021.004,C0024,C0025.001,C0025.003,C0026.001,C0026.002,C0027,C0027.001,C0027.003,C0027.004,C0027.009,C0027.011,C0028,C0028.002,C0029,C0029.001,C0029.002,C0029.003,C0029.004,C0030.001,C0030.005,C0031,C0031.001,C0031.010,C0032.001,C0032.002,C0032.005,C0033,C0034,C0034.001,C0035,C0036,C0036.001,C0036.002,C0036.003,C0036.004,C0036.005,C0036.006,C0036.007,C0038,C0039,C0040,C0041,C0042,C0043,C0045,C0046,C0047,C0048,C0049,C0050,C0051,C0052,C0053.001,C0054,C0055,C0057.001,C0058,C0059,C0060,C0061,C0063,C0065,E1010,E1014,E1027,E1027.M02,E1027.M03,E1027.M05,E1055,E1055.M04,E1059,E1082,E1083,E1083.M01,E1112,E1113.M01,E1203.M06,E1203.m01,E1203.m06,E1485,E1485.M04,E1486,E1510,E1564,F0001,F0001.002,F0001.008,F0001.010,F0001.011,F0002.001,F0002.002,F0004,F0004.003,F0004.005,F0004.008,F0005,F0005.002,F0005.004,F0007,F0007.001,F0011,F0012,F0013,F0015.006,OB0001,OB0002,OB0003,OB0004,OB0005,OB0006,OB0007,OB0008,OB0009,OB0012,OC0001,OC0002,OC0003,OC0005,OC0006,OC0008
5ef2e70b47c26de37bcd3e806ea7c791876b1ebda407045e3a81f3bd8ea7c3ac,0.270351066,0,0.270351066,0,0,0,0,0,0,0,0.249787336,0.270351066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369896294,0,0.266908919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481043018,0,0,0,0,0,0,0,0,0,0.20293182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161670298,0.201829867,0,0,0,0.179449975,0,0,0,0,0,0.270351066,0,0,0.255979039,0
52bb9f927ef8b58981f8785949e2131ab47c050ad3ebbd19da010caec5c22c63,0.22877815,0,0.22877815,0,0,0,0,0,0,0,0.211376582,0.22877815,0,0,0,0,0,0.256711655,0.277325965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313015928,0,0.225865315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257326482,0,0,0,0,0.264948922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230758218,0,0,0,0,0,0,0,0,0,0,0,0,0.171726219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136809639,0.170793717,0,0,0,0.151855267,0.226346125,0,0,0,0,0.22877815,0,0,0.216616164,0.256711655
52cdcb1cc9f243da170f6e30a49c3438b738d49d7141ff82f2876fe28086e908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130066482,0,0,0,0,0,0.182507404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119496267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158593814,0,0,0,0,0,0,0,0,0,0,0.204225696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316407169,0,0,0.281590302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254652748,0.211604613,0.278322729,0,0,0.182507404,0.194121965,0,0,0,0,0,0,0.336693857,0,0,0,0,0,0,0,0,0,0,0,0.186902506,0.116916817,0.183219185,0,0,0,0,0,0,0.301044249,0,0,0,0,0.087007445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06931648,0.08653498,0,0,0,0.076939554,0,0.252493093,0,0,0.208337039,0,0,0,0.109751551,0
52d3dd78d3f1a14e18d0689ed8c5b43372f9e76401ef1ff68522575e6251d2cf,0,0,0,0,0,0,0,0,0,0,0.328379406,0,0.580182433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559602596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266781461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212537582,0.265332794,0,0,0,0.235911385,0,0,0,0,0,0,0,0,0,0
52dd0cf2c2c46f510c4861446a731366291bd65749a79addcdecc05f30bb90f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290232367,0.313538437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266645826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290927475,0,0,0,0,0.299545233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407249853,0,0,0.26089,0,0,0,0,0,0,0,0,0,0,0,0,0.194149762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15467387,0.193095497,0,0,0,0.171684116,0.255901788,0,0,0,0,0,0,0,0.244901314,0.290232367
b3d113dab0b7da85b949149a458567fa2dba6a1b2659e1f58d5652917469ef44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541862529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431687237,0.538920126,0,0,0,0.479162004,0,0,0,0,0,0,0,0,0,0
57a8bfc0fbd4dfa10de20bb5810475ed8b5f94aa71411f0859cdc9b7d91d9b28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265946452,0.287302329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244333573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266583395,0,0,0,0,0.274480041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373172209,0,0,0.23905938,0,0,0,0,0,0,0,0,0,0,0,0,0.177903798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400441072,0,0,0,0,0,0.141731149,0.176937751,0,0,0,0.15731802,0.234488569,0,0,0,0,0,0,0,0.224408588,0.265946452
58a98de81bf067e37ae13ff5140be15b4b156ae5adcf05671aa7023f4fde2a44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541862529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431687237,0.538920126,0,0,0,0.479162004,0,0,0,0,0,0,0,0,0,0
58b525579968cba0c68e8f7ae12e51e0b5542acc2c14a2e75fa6df44556e373f,0.08340209,0,0.08340209,0,0,0,0,0,0,0,0.077058272,0.08340209,0,0,0,0,0,0.093585374,0.101100412,0,0,0,0,0.131317641,0,0,0,0,0,0.242257805,0.242257805,0,0,0.190030615,0.173316807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242257805,0,0,0,0,0.085979898,0.223672878,0,0,0,0,0.198022289,0,0,0.186503023,0,0,0,0,0,0,0,0,0.114111346,0,0.082340203,0,0,0,0,0,0,0,0,0,0,0.128839412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274028948,0,0,0,0.186503023,0.223672878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093809512,0,0,0,0,0.096588306,0.172060946,0,0.160130592,0,0,0,0.190030615,0,0,0,0,0,0,0,0.131317641,0,0.188232891,0,0.184836073,0,0,0,0,0,0,0,0,0,0,0,0,0.191901735,0,0,0,0.084123933,0.131829781,0,0,0.20508795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049874561,0,0.190030615,0,0,0,0.082515485,0,0,0,0,0.08340209,0,0,0.078968384,0.093585374
059cbde98d16f289413cac8ac66ea5b813345f02f5e1f0ceb31623e65ff9a327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210868089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410188548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138065355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183238454,0.272418403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296807263,0,0,0,0,0,0,0,0,0,0.286978959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150638043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210868089,0.224287492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215946167,0.135085072,0.211690477,0,0,0,0,0,0,0,0,0,0,0,0.100527941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080087895,0.099982058,0,0.33799663,0,0.088895554,0.132502248,0,0,0,0.240711514,0,0,0,0.126806362,0.150278126
