target_id,dataset_id,similarity_type,signatures_similarity,mbcs_similarity,ttps_similarity
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1136cc54d8c5c563ebc7f940ed46f4ed6e95057278a94923dc0fd1f80000d7b0,cosine,0.2082600986,0.2105207523,0.2136522386
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1164e122800fda5ad79d422710877fd9767d44a15e69f3c28e9563ff3e752157,cosine,0.1169115771,0.3641269056,0.0994919334
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1273d769ad266f4fc8772da8dc6402a318f05f8c3a84abe3e5542e83dce1497c,cosine,0.2543282902,0.201918008,0.0822118996
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,cosine,0.2448789546,0.0305853709,0.1447868997
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,12f1fa49ce2f2fd19db6147e547a35625c260b2fec2ecf67de89c837990c5d94,cosine,0.2005805452,0.0,0.0281210028
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1341251573c17f1c576e031d98e6d23eded09f655a754754d65cc72dada5bc57,cosine,0.2979894009,0.3653559944,0.2163741537
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,13492a113107ae59e2fe02f3c3b9afa411a39caa73b78ea06dec0fb9a970f7a2,cosine,0.2913211371,0.3151704828,0.1074438961
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,13849c0c923bfed5ab37224d59e2d12e3e72f97dc7f539136ae09484cbe8e5e0,cosine,0.1414616452,0.1833397973,0.1758361987
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1398be5280bdfc67179822e32d2d39e3e36afac05f88f3267cc7a1a63a3bdb68,cosine,0.1663736655,0.0789476646,0.1016392358
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,13df58cb2a7de61146bfeff4f4a54b00268bc3532c909616448342b1e99c0591,cosine,0.3143909716,0.3151704828,0.0785656774
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,141c1029d3a44625dbca07357d78711dc4f930858abeccff2edec092efbe9f8b,cosine,0.1028458037,0.0260513594,0.0
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1468cd44eaf097486ad5a42bd11a3b3fdfc726e054259631c29c28364558e177,cosine,0.2750204825,0.3452028817,0.1377476932
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1479052d908e0057cf19343d000533864d9a270a1d304218a1865da2d77f58e2,cosine,0.4736912165,0.424903351,0.2489853697
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,14910c0c902170b9ae33ed613976464020ac0e6df96566a4a2974104fd587aa2,cosine,0.4540335612,0.393439293,0.1541312988
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,14c8e3f1f23d16c2c9a4272cd05d00461d27b372cc5f588b4bbfc6102bbed708,cosine,0.2305529098,0.0319168164,0.0688876444
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,14cb7790f76528aeaaa36a1e35271b25002d592e1e3129e4caa5e8e14141b319,cosine,0.3140243613,0.3160235901,0.2422323325
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,151eacb26f65117d4a4abb8473c8650edd42b079a662f7dc4c4ebdd966045d1c,cosine,0.5139810391,0.4573893444,0.2278607232
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1554f71a718baea1c04d9d1cc8c84d8aba5adfbce37566d397b57fc3c8378806,cosine,0.1028458037,0.0260513594,0.0339512813
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,15aa23d4511135cccf62cd2c637a7a04dc968ed39ffd2683850a3a708c8d4c3b,cosine,0.3337601853,0.393439293,0.2340295668
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,15d9f248ee852047b99f3e6199e8dfffdf970a7597438d02bfb2842f32ff31f7,cosine,0.2111753151,0.393439293,0.1274837193
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,15ef2d6ef402a46165be39d9dbc0081cf28ebca0f407306dd80ac3a73a32c07b,cosine,0.0933254797,0.1629840503,0.11097823
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1602d04000a8c7221ed0d97d79f3157303e209d4640d31b8566dd52c2b09d033,cosine,0.1424305185,0.1815922937,0.0926534018
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,160ffdb97712c84d3e7dca1e26924d48cd92afb6c21665df8912cae81cc91d9b,cosine,0.4932325465,0.2791184428,0.157263619
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,161c471b0aaaf0d7c1f0267ebb837e10fb8c5edfe09b0d00bf2472820f413713,cosine,0.0972938512,0.0978931622,0.0629599319
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1667e1635736f2b2ba9727457f995a67201ddcd818496c9296713ffa18e17a43,cosine,0.2374243954,0.1100528925,0.1330640622
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,16ad6e2bd4bce6939f1b743d03707fe4cea68167a6f6dfbac9061728292697b7,cosine,0.1618979641,0.0481448526,0.1696141663
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,16bd868c6c2200864825de71892e8802f0f7f243f476dcd38e9d713bb0a5ee44,cosine,0.5252117795,0.2960954628,0.3879650063
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,172362b2f1f5dca51f1520fc186c1e67c7002f924420c5828b90e099e96b0476,cosine,0.2109103165,0.2105207523,0.0994993831
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1761d6b84b6e51f55c366f85eae03edb19759e196103e9005fa325a1fa090f9a,cosine,0.3016306048,0.1870872136,0.2939174278
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,177b40f96a09a3919b2c8846ca73abb09855d078ff9dee89610bc2b75d44cb31,cosine,0.251120183,0.2690656911,0.1643234615
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1791e9d01451f953e74249019654609cd33c2ab66e97f2ed7a609e99f9ce8320,cosine,0.1289802325,0.2396730369,0.1634213933
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,191babb0f7c471b06775a0ba0246d78ab83570f5d82308a288382ecf97bc9b8a,cosine,0.2009625289,0.2230973917,0.2587652199
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,19e7ed337ed008c4d94872f8a0cc882f59e3fa705a07bcc8efef9fe87229136b,cosine,0.219492971,0.2528834684,0.2526121654
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1ad82a4e7f70ad09c9ff67446d0bdd9a900e998c88888ed1509fa6a604ce2f4e,cosine,0.4133544617,0.3951501795,0.1476378911
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1af129726e9594c9d809e9e06f0a693a81f079217d1fe13e616fd7b7702a7f5d,cosine,0.1598963921,0.0260513594,0.0
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1af648b66de630a3356319ff862160ffd6af17ede24c6f3645f86d6bfd490168,cosine,0.1919930841,0.0,0.1603667558
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1b5fd1069eddccb6aa751575d2e241dcaa5b2f4969d97dd6854950a8de2a8794,cosine,0.4901108905,0.4263678669,0.1745606784
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1b6a5b2f2a6c23f7fb1955fb3147c9860414f759aa9c3972f99b58a4bfeec55e,cosine,0.1028458037,0.0260513594,0.1071634385
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1bdb8590762f40393359ab5a12face2f6affce13834fb427d800e4eb2fdb0e63,cosine,0.4500137112,0.4573893444,0.2040364266
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1c4ce65bd75a1093b173417455db9fe48fc948cd5e35ea9418018b33e0dcecf4,cosine,0.4627269865,0.3701679194,0.5312892447
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1c55d4144572be0ee5f5f95d9ce655549a7d0f55c74d576f649a85c323b31a63,cosine,0.0417466666,0.0886728907,0.0711678897
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1c8a8199bc8cee2c76b1274dd751f6e61009c6685a3a2ddf2c859dcc99473c66,cosine,0.4818916113,0.393439293,0.3127973896
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1cb6f41ae09b700eb04f034abd2fb8c727383d671ba11f14309dd2b49d32d54c,cosine,0.4383938411,0.3593730483,0.234797085
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1cc7c198a8a2c935fd6f07970479e544f5b35a8eb3173de0305ebdf76a0988cb,cosine,0.2769209349,0.2413480099,0.1457532472
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1d11c985ab456d176302f4102a0391047843779b5dec3f38139e718e6d785600,cosine,0.2912837991,0.1839574985,0.1442463243
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1d30c8ea61630a44351f29b209813275b5077a637a571d888e97398f8c24787d,cosine,0.1927030217,0.1533753559,0.1643960584
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1df11bc19aa52b623bdf15380e3fded56d8eb6fb7b53a2240779864b1a6474ad,cosine,0.1694886121,0.0660534989,0.0715082881
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1e3d1dce864ea7544e10a2758f11fafacd39a0cfc7022e3493d6a25dbaffb6c3,cosine,0.0918321338,0.1136212625,0.0714330426
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1e899e9715679dacd49bcc56039ca51d3dad675c5d3525148bc94d1864304178,cosine,0.4858924925,0.4618966025,0.2677602974
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1e8e8e440cadb082cff90fecfdbaebda68160a41773e5f70ba71460110dd16e5,cosine,0.1237453712,0.3888018098,0.1604724593
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1ea73303f294c3f3c99b4651232952bfd97956bee1901b772298b58bde101018,cosine,0.3492357861,0.3653559944,0.175156415
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1edc828da884f2b17544ba6609f55bba3c950093528a5e857a23be8ae78fcb36,cosine,0.1613206322,0.1796742929,0.0707532626
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1f2c57feb6fcb80fe02d53778fa7c6b3bcba0319229fe9b9ff725a24d939c2b6,cosine,0.0789486795,0.1293013276,0.0673421296
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1f4bc361329e51a44c86b2d592d4cbaf74c90d7fedf7f8e6ef6f9776e5912106,cosine,0.1242439803,0.0260513594,0.0359491702
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1f69810b8fe71e30a8738278adf09dd982f7de0ab9891d296ce7ea61b3fa4f69,cosine,0.3154135166,0.3879242792,0.1613107759
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1f80be7f5556f97ce097e588b184ac44c66b72b05a96d833929818774bbaaaa2,cosine,0.3574542269,0.2020037693,0.1409475537
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,1ffd6559d21470c40dcf9236da51e5823d7ad58c93502279871c3fe7718c901c,cosine,0.4024024527,0.1592824851,0.1298523266
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,2026f682ca7fd084053865abf7f6a09d28296d469631ee635139cfe941e984cc,cosine,0.3091579597,0.1938097318,0.1097789933
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,20fdea0c17ffb565895491b930cc6ad3df6ca3cc85780ddda1dad5a0ecd1983b,cosine,0.2336950433,0.0,0.1851247923
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,21054e559ffbfd37f07ce33085fb9c4ed8e9583f66aaee1f68b51ea01ab2e757,cosine,0.2503566225,0.3577371007,0.1550523407
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,213f5c025503e250e892d59d04536da9395d36ba21cf20a0238fe5037064f4de,cosine,0.2242097491,0.2085696827,0.1863357876
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,21b63a545df6a8ccbf3a70596ce720392245a6865d45a6094df56635f069dd59,cosine,0.2227353727,0.1895202032,0.1288641694
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,21e2829a1d9fd66d9e8586f0a3243506fa44111e55fe9807bfe618258f8966ff,cosine,0.1201803669,0.01147432,0.0364444633
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,22709d7884e71cdeb419e81453644edef69f8373a7a676c85c4d85f1ab67be46,cosine,0.1166280472,0.2249499996,0.1172511655
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,2277b1869ee1c07aaadc672a9f9ac2f7e732a6c49d83d7185e207b767e0c3ea8,cosine,0.4075746889,0.4164590627,0.4376824938
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,22e83b1f2a1d5a6e73e51efc8a3169810070bc333fa40ba34786321210d3b670,cosine,0.3160717962,0.2501510515,0.3099765137
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,231bba5652f6fbdbab3016362fb7925fc4e4489fff5e6a4a98c37fba5bd0cfe9,cosine,0.0789486795,0.0978931622,0.0495827963
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,233437b647f9482a8a3ba51d0af69039bb58fb48609704a39db1f709a0e6aca6,cosine,0.2831346259,0.0970592837,0.1607217685
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,23b0842149aafb9e6e909bab3937921836ad4b3dc2610e2d661c7291f7fad273,cosine,0.0,0.0,0.0
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,240e33c28d618ba23fc7489c03dcc40e3e3d2c84ef959db800321d1946d3dbcf,cosine,0.2296127109,0.2105207523,0.0889614272
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,241589089e32610bf1d0620cec1d1b6905b0426d3125e7047bb275d962f226cf,cosine,0.1613302644,0.1796742929,0.0859389191
